name,number,date_of_birth,age,height,citizenship,position,foot,joined,contract_expires,outfitter,player_id,club_id,country_of_birth,city_of_birth
filipe machado,23,1996-01-20,28,1.74,Brazil,Midfield - Defensive Midfield,right,2022-01-24,2025-12-31,adidas,520629,609,Brazil,Santa Maria
fernando henrique,0,2001-06-01,22,1.82,Brazil,Midfield - Defensive Midfield,both,2024-03-01,2024-12-31,adidas,815673,609,Brazil,São José de Mipibu
igor formiga,33,1999-01-08,25,1.77,Brazil,Defender - Right-Back,right,2023-07-06,2027-06-30,Nike,688690,609,Brazil,Rio de Janeiro
ian luccas,0,2003-02-11,21,1.88,Brazil,Midfield - Central Midfield,right,2024-02-28,2024-12-31,Nike,796796,609,Brazil,Ribeirão Preto
matheus jussa,22,1996-03-22,28,1.83,Brazil,Midfield - Defensive Midfield,left,2024-02-12,2025-12-31,Nike,347909,609,Brazil,São Paulo
wesley gasolina,2,2000-03-13,24,1.7,Brazil,Defender - Right-Back,right,2022-08-08,2024-12-31,Nike,371967,609,Brazil,Retirolândia
william,12,1995-04-03,29,1.76,Brazil,Defender - Right-Back,right,2023-01-01,2026-12-31,adidas,341710,609,Brazil,Pelotas
kaiki,6,2003-03-08,21,1.72,Brazil,Defender - Left-Back,left,2023-01-01,2025-12-31,adidas,879217,609,Brazil,Betim
helibelton palacios,28,1993-06-11,30,1.81,Colombia,Defender - Right-Back,right,2023-07-01,2025-12-31,,211389,609,Colombia,Santander de Quilichao
marquinhos cipriano,6,1999-02-09,25,1.73,Brazil,Defender - Left-Back,left,2023-07-01,2025-05-31,,569805,609,Brazil,Catanduva
marlon,3,1997-05-20,27,1.78,Brazil,Defender - Left-Back,left,2023-03-10,2026-12-31,Nike,406675,609,Brazil,Cascavel
pedrao,35,2004-01-06,20,1.86,Brazil,Defender - Centre-Back,right,2024-02-01,2025-12-31,Nike,1019701,609,Brazil,Barra Mansa
ruan santos,0,2003-10-14,20,1.87,Brazil,Defender - Centre-Back,right,2024-03-01,2024-12-31,Puma,991801,609,Brazil,Santos
lucas oliveira,12,1996-02-02,28,1.87,Brazil,Defender - Centre-Back,right,2024-02-01,2024-06-30,adidas,592373,609,Brazil,Rio de Janeiro
joao marcelo,43,2000-06-13,23,1.89,Brazil,Defender - Centre-Back,right,2023-08-01,2024-06-30,Nike,744024,609,Brazil,Rio de Janeiro
reynaldo,40,1997-01-03,27,1.86,Brazil,Defender - Centre-Back,left,2024-03-05,2024-12-31,Nike,514297,609,Brazil,Catanduva
eduardo brock,4,1991-05-06,33,1.86,Brazil,Defender - Centre-Back,left,2023-02-19,,,435232,609,Brazil,Arroio do Meio
luciano castan,40,1989-09-13,34,1.87,Brazil,Defender - Centre-Back,left,2024-01-11,2024-12-31,Nike,140541,609,Brazil,São Paulo
neris,27,1992-06-17,31,1.92,Brazil,Defender - Centre-Back,right,2023-01-01,2024-12-31,adidas,349513,609,Brazil,Tucuruí
rodrigo bazilio,0,2003-03-06,21,1.9,Brazil,Goalkeeper,right,2023-05-04,2024-11-30,Puma,668224,609,Brazil,Barra do Garças
rafael cabral,33,1990-05-20,34,1.86,Brazil,Goalkeeper,right,2024-04-19,2024-12-31,Mizuno,103916,609,Brazil,Sorocaba
anderson,98,1998-03-05,26,1.9,Brazil,Goalkeeper,right,2023-01-01,2025-12-31,Nike,598974,609,Brazil,Ribeirão Pires
rodrigo varanda,65,2003-01-11,21,1.8,Brazil,Attack - Right Winger,right,2024-01-01,2026-12-31,,668237,2863,Brazil,Guarulhos
renato kayzer,79,1996-02-17,28,1.76,Brazil,Attack - Centre-Forward,right,2022-02-09,2025-12-31,Nike,404321,2863,Brazil,Jotaesse
luan,28,2002-03-19,22,1.75,Brazil,Attack - Right Winger,right,2023-08-18,2024-06-30,Nike,819249,2863,Brazil,Marília
dada belmonte,0,1997-02-08,27,1.72,Brazil,Attack - Right Winger,right,2024-01-10,2025-12-31,,546253,2863,Brazil,São José do Belmonte
adyson,44,2005-09-22,18,1.68,Brazil,Attack - Left Winger,left,2023-01-01,2025-12-31,,977467,2863,Brazil,Coroatá
yago souza,7,2006-02-11,18,,Brazil,Midfield - Attacking Midfield,,2023-01-01,,,1085188,2863,,
mateus goncalves,23,1994-09-28,29,1.72,Brazil,Attack - Left Winger,right,2023-06-22,2024-12-31,,352890,2863,Brazil,Belo Horizonte
everaldo,37,1994-05-28,29,1.72,Brazil,Attack - Left Winger,right,2024-01-23,2025-12-31,adidas,388397,2863,Brazil,Olinda
felipe azevedo,11,1987-01-10,37,1.74,Brazil,Attack - Left Winger,left,2019-01-01,2024-12-31,,75111,2863,Brazil,Ubatuba
paulinho boia,0,1998-06-26,25,1.71,Brazil,Attack - Left Winger,right,2024-01-03,2024-06-30,adidas,544895,2863,Brazil,Gama
gabriel mesquita,0,1998-09-14,25,1.97,Brazil,Goalkeeper,right,2024-01-01,2024-11-30,,645897,609,Brazil,Maceió
emmanuel martinez,8,1994-06-04,29,1.69,Argentina,Midfield - Attacking Midfield,right,2024-04-09,2027-06-30,Puma,360526,2863,Argentina,Tandil
matheusinho,17,1998-02-11,26,1.64,Brazil,Midfield - Attacking Midfield,right,2024-04-09,2024-12-31,,401533,2863,Brazil,Belo Horizonte
rodriguinho,75,2003-06-05,20,1.7,Brazil,Midfield - Central Midfield,left,2023-01-01,2024-12-31,,977463,2863,Brazil,Contagem
yago santos,8,2003-04-03,21,1.82,Brazil,Midfield - Central Midfield,left,2023-03-02,,adidas,900203,2863,Brazil,Santos
martin benitez,10,1994-06-17,29,1.75,Argentina,Midfield - Attacking Midfield,right,2023-01-01,2025-12-31,,189418,2863,Argentina,Posadas
juan cazares,36,1992-04-03,32,1.71,Ecuador,Midfield - Attacking Midfield,right,2024-01-04,2024-12-31,Nike,146367,2863,Ecuador,Quinindé
rafa barcelos,14,2004-01-25,20,,Brazil,Midfield - Defensive Midfield,right,2022-01-01,,,1085182,2863,Brazil,Contagem
kaua diniz,15,2004-03-07,20,,Brazil,Midfield - Defensive Midfield,,2022-01-01,,,1086631,2863,Brazil,Sete Lagoas
breno lemos,80,2003-09-25,20,1.83,Brazil,Midfield - Defensive Midfield,right,2024-01-15,,,1085060,2863,Brazil,Rio de Janeiro
lucas kal,0,1996-03-16,28,1.86,Brazil,Midfield - Defensive Midfield,right,2024-02-19,2024-12-31,,435489,2863,Brazil,Campinas
javier mendez,23,1994-12-05,29,1.84,Uruguay,Midfield - Defensive Midfield,right,2024-01-10,2024-12-31,,285772,2863,Uruguay,Montevideo
aletm,16,1990-06-06,33,1.84,Brazil,Midfield - Defensive Midfield,right,2020-01-01,2025-12-31,,543614,2863,Brazil,Osasco
juninho,8,1987-10-23,36,1.73,Brazil,Midfield - Defensive Midfield,right,2017-02-06,2024-12-31,,271187,2863,Brazil,Goiânia
samuel alves,2,2004-01-08,20,1.78,Brazil,Defender - Right-Back,right,,2025-12-31,,997863,2863,Brazil,Betim
mateus henrique,36,2002-10-02,21,1.78,Brazil,Defender - Right-Back,right,2023-01-01,2025-12-31,,977471,2863,Brazil,Salinas
nino paraiba,0,1986-01-10,38,1.68,Brazil,Defender - Right-Back,right,2023-09-01,,,72451,2863,Brazil,Rio Tinto
paulinho,0,2004-06-29,19,,Brazil,Defender - Left-Back,,2022-01-01,,,1082692,2863,Brazil,Ribeirão Preto
arthur,13,2003-03-17,21,1.74,Brazil,Defender - Right-Back,right,2023-07-01,2028-06-30,Puma,977464,2863,Brazil,Belo Horizonte
nicolas,30,1997-02-24,27,1.81,Brazil,Defender - Left-Back,left,2023-01-01,2025-12-31,,442258,2863,Brazil,Arapongas
jonathan,23,2003-02-12,21,1.8,Brazil,Defender - Centre-Back,right,2022-03-31,,,813119,2863,Brazil,Guarulhos
marcinho,2,1996-05-16,28,1.8,Brazil,Defender - Right-Back,right,2024-02-22,2024-06-30,,432967,2863,Brazil,Rio de Janeiro
ricardo silva,45,1992-08-13,31,1.9,Brazil,Defender - Centre-Back,right,2022-07-03,2024-12-31,,206097,2863,Brazil,São José do Seridó
wanderson,0,1991-02-07,33,1.86,Brazil,Defender - Centre-Back,right,2024-01-16,2024-11-30,,316067,2863,Brazil,Vitória da Conquista
marlon lopes,6,1994-02-13,30,1.77,Brazil,Defender - Left-Back,left,2022-01-24,2025-12-31,,443721,2863,Brazil,Angra dos Reis
julio,18,2003-09-28,20,1.86,Brazil,Defender - Centre-Back,right,2023-02-01,2027-12-31,,985345,2863,Brazil,Raposos
iago maidana,36,1996-02-06,28,1.95,Brazil,Defender - Centre-Back,right,2024-02-09,2024-12-31,,348261,2863,Brazil,Criciúma
natan sales,0,2003-02-26,21,2.0,Brazil,Goalkeeper,right,2023-08-02,,Nike,837712,2863,Brazil,Itaobim
esteban burgos,6,1992-01-09,32,1.91,Argentina,Defender - Centre-Back,right,2024-02-10,2024-12-31,,337922,2863,Argentina,Salta
mateus pasinato,14,1992-06-28,31,1.92,Brazil,Goalkeeper,right,2024-01-10,2026-12-31,,349418,2863,Brazil,Concórdia
robson,0,2000-07-09,23,1.87,Brazil,Goalkeeper,right,2024-04-12,,,902033,2863,Brazil,Cordeiro
matheus cavichioli,26,1986-07-27,37,1.92,Brazil,Goalkeeper,right,2024-03-14,,,54274,2863,Brazil,Caçador
danilo avelar,0,1989-06-09,34,1.85,Brazil,Defender - Left-Back,left,2024-02-05,,,140748,2863,Brazil,Paranavaí
jori,12,1996-03-15,28,1.9,Brazil,Goalkeeper,right,2017-01-01,2025-12-31,,429799,2863,Brazil,Periquito
juan martin lucero,9,1991-10-10,32,1.82,Argentina,Attack - Centre-Forward,right,2023-01-13,2025-12-31,Nike,162807,10870,Argentina,Mendoza
washington aguerre,29,1993-04-23,31,1.87,Uruguay,Goalkeeper,right,2024-01-13,2024-12-31,,273203,2863,Uruguay,Artigas
eder,33,1995-04-05,29,1.84,Brazil,Defender - Centre-Back,right,2022-01-24,2024-12-31,,375690,2863,Brazil,Gurupi
pikachu,22,1992-06-05,31,1.72,Brazil,Attack - Right Winger,right,2024-01-01,2025-12-31,Nike,265660,10870,Brazil,Belém
thiago galhardo,33,1989-07-20,34,1.83,Brazil,Attack - Centre-Forward,right,2024-04-15,2024-12-31,Puma,186399,10870,Brazil,São João del Rei
silvio romero,10,1988-07-22,35,1.77,Argentina,Attack - Centre-Forward,right,2024-01-03,2025-12-31,adidas,88082,10870,Argentina,Córdoba
imanol machuca,39,2000-01-15,24,1.7,Argentina,Attack - Right Winger,right,2023-07-28,2027-12-31,,829968,10870,Argentina,Roldán
pedro rocha,32,1994-10-01,29,1.75,Brazil,Attack - Left Winger,right,2022-08-12,2024-12-31,Nike,362844,10870,Brazil,Vila Velha
romarinho,11,1994-03-01,30,1.68,Brazil,Attack - Right Winger,right,2023-01-01,2026-12-31,Nike,267849,10870,Brazil,Ceará-Mirim
moises,21,1996-09-02,27,1.77,Brazil,Attack - Left Winger,right,2024-01-11,2027-12-31,adidas,788361,10870,Brazil,Morro da Fumaça
amorim,0,2005-05-18,19,1.77,Brazil,Midfield - Attacking Midfield,right,,2027-12-31,,1082774,10870,Brazil,Fortaleza
tomas pochettino,7,1996-02-01,28,1.8,Argentina,Midfield - Attacking Midfield,right,2023-01-10,2025-12-31,Nike,348354,10870,Argentina,Rafaela
sammuel,0,2001-12-21,22,1.77,Brazil,Midfield - Central Midfield,left,2024-01-01,2024-12-31,Nike,792652,10870,Brazil,Fortaleza
lucas crispim,10,1994-06-19,29,1.78,Brazil,Midfield - Attacking Midfield,right,2024-01-01,2024-06-30,adidas,344626,10870,Brazil,Brasília
ze welison,17,1995-03-11,29,1.77,Brazil,Midfield - Defensive Midfield,right,2023-01-01,2026-12-31,Nike,323452,10870,Brazil,São Pedro
hercules,35,2000-10-20,23,1.78,Brazil,Midfield - Central Midfield,right,2022-01-01,2026-12-31,Nike,982617,10870,Brazil,Jaicós
lucas sasha,88,1990-03-01,34,1.77,Brazil,Midfield - Defensive Midfield,both,2022-07-18,2024-12-31,adidas,121986,10870,Brazil,São Paulo
pedro augusto,28,1997-03-03,27,1.81,Brazil,Midfield - Central Midfield,right,2023-07-13,2024-12-31,,594105,10870,Brazil,Ubá
caio alexandre,19,1999-02-24,25,1.74,Brazil,Midfield - Defensive Midfield,right,2024-01-18,2028-12-31,adidas,727751,10870,Brazil,Duque de Caxias
dudu,20,1997-05-30,26,1.75,Brazil,Defender - Right-Back,right,2023-01-01,2025-12-31,Nike,476362,10870,Brazil,Brasília
tinga,2,1993-09-01,30,1.79,Brazil,Defender - Right-Back,right,2018-01-01,2026-04-30,adidas,273442,10870,Brazil,Porto Alegre
gonzalo escobar,31,1997-03-16,27,1.71,Argentina,Defender - Left-Back,left,2024-04-19,2024-12-31,,440377,10870,Argentina,Alejandro Korn
habraao,28,2001-06-26,22,1.84,Brazil,Defender - Centre-Back,right,2024-01-01,2024-12-31,adidas,965630,10870,Brazil,Além Paraíba
bernardo schappo,0,1999-03-22,25,1.91,Brazil,Defender - Centre-Back,left,2024-01-01,2024-12-31,adidas,699679,10870,Brazil,Biguaçu
bruno pacheco,6,1991-12-08,32,1.75,Brazil,Defender - Left-Back,left,2023-01-01,2024-12-31,Puma,435163,10870,Brazil,Araraquara
alix,0,1999-11-06,24,1.95,Brazil,Defender - Centre-Back,right,2024-01-05,2026-12-31,,880217,10870,Brazil,Simões Filho
lucas esteves,16,2000-06-24,23,1.71,Brazil,Defender - Left-Back,left,2024-01-06,2025-12-31,Nike,688668,10870,Brazil,São Paulo
emanuel britez,19,1992-03-26,32,1.78,Argentina,Defender - Centre-Back,right,2022-07-19,2025-12-31,Nike,262851,10870,Argentina,Santa Fe
brayan ceballos,25,2001-05-24,22,1.89,Colombia,Defender - Centre-Back,right,2023-07-11,2024-12-31,Nike,650863,10870,Colombia,Santiago de Cali
tobias figueiredo,16,1994-02-02,30,1.88,Portugal,Defender - Centre-Back,right,2024-03-02,2024-12-31,,122077,10870,Portugal,Viseu
joao ricardo,1,1988-09-06,35,1.86,Brazil,Goalkeeper,right,2023-01-01,2024-12-31,adidas,270420,10870,Brazil,Mariano Moro
marcelo benevenuto,4,1996-01-07,28,1.81,Brazil,Defender - Centre-Back,right,2024-02-09,2024-12-31,,476339,10870,Brazil,Resende
mauricio kozlinski,30,1991-06-18,32,1.91,Brazil,Goalkeeper,right,2023-03-20,2024-12-31,Nike,438431,10870,Brazil,Antonio Olinto
titi,4,1988-03-12,36,1.88,Brazil,Defender - Centre-Back,left,2021-04-26,2024-12-31,Nike,55250,10870,Brazil,Pelotas
kennedy,0,1999-12-08,24,1.88,Brazil,Goalkeeper,right,2024-01-01,,Nike,742022,10870,Brazil,São Luís
fernando miguel,22,1985-02-02,39,1.91,Brazil,Goalkeeper,left,2024-01-01,2025-12-31,Nike,291963,10870,Brazil,Venâncio Aires
bruno guimaraes,0,2002-06-08,21,1.92,Brazil,Goalkeeper,right,,,,876750,10870,Brazil,Pontal
ryan luka,0,2003-04-30,21,1.86,Brazil,Attack - Centre-Forward,right,2023-07-31,,,900456,614,Brazil,Além Paraíba
pedro,9,1997-06-20,26,1.85,Brazil,Attack - Centre-Forward,right,2021-01-01,2027-12-31,adidas,432895,614,Brazil,Rio de Janeiro
luan polli,27,1993-04-06,31,1.88,Brazil,Goalkeeper,right,2024-03-25,2024-06-30,,273250,10870,Brazil,Meleiro
matheus goncalves,20,2005-08-18,18,1.75,Brazil,Attack - Right Winger,left,2023-01-01,2025-12-31,Nike,961046,614,Brazil,Rio de Janeiro
mateusao,19,2004-04-23,20,1.84,Brazil,Attack - Centre-Forward,right,2023-08-01,,Nike,743596,614,Brazil,Três Marias
andre luiz,10,2002-02-23,22,1.85,Brazil,Attack - Centre-Forward,right,2023-09-01,2024-06-30,,919262,614,,
gabriel barbosa,10,1996-08-30,27,1.78,Brazil,Attack - Centre-Forward,left,2020-01-31,2024-12-31,Nike,244275,614,Brazil,São Bernardo do Campo
luiz araujo,7,1996-06-02,27,1.75,Brazil,Attack - Right Winger,left,2023-07-01,2027-12-31,adidas,435485,614,Brazil,Taquaritinga
marinho,11,1990-05-29,33,1.69,Brazil,Attack - Right Winger,left,2023-07-01,2025-12-31,adidas,74758,614,Brazil,Penedo
bruno henrique,27,1990-12-30,33,1.84,Brazil,Attack - Left Winger,right,2019-01-23,2026-12-31,Nike,353108,614,Brazil,Belo Horizonte
petterson,27,2004-01-04,20,1.81,Brazil,Attack - Left Winger,right,2024-01-31,2024-12-31,,978057,614,Brazil,Florianópolis
pedrinho,10,2003-04-18,21,1.77,Brazil,Midfield - Attacking Midfield,right,2024-01-31,2024-12-31,,992532,614,Brazil,Rio de Janeiro
thiaguinho,0,2001-03-13,23,1.7,Brazil,Attack - Right Winger,left,2024-02-18,2024-05-30,,638305,614,Brazil,Recife
everton,11,1996-03-22,28,1.74,Brazil,Attack - Left Winger,right,2022-07-18,2026-06-30,Nike,321239,614,Brazil,Fortaleza
werton,0,2003-09-16,20,1.81,Brazil,Attack - Left Winger,right,2024-01-01,,Nike,902438,614,Brazil,Benjamin Constant
wallace yan,0,2005-02-08,19,,Brazil,Midfield - Attacking Midfield,,,,,1082602,614,,
victor hugo,29,2004-05-11,20,1.82,Brazil,Midfield - Attacking Midfield,left,2022-01-01,2028-12-31,Nike,749559,614,Brazil,Rio de Janeiro
matheus franca,11,2004-04-01,20,1.84,Brazil,Midfield - Attacking Midfield,right,2023-08-05,2028-06-30,Nike,743597,614,Brazil,Rio de Janeiro
lorran,19,2006-07-04,17,1.8,Brazil,Midfield - Attacking Midfield,left,2024-01-01,2025-12-31,,1009030,614,Brazil,Rio de Janeiro
everton ribeiro,10,1989-04-10,35,1.74,Brazil,Midfield - Attacking Midfield,left,2024-01-06,2025-12-31,Nike,52896,614,Brazil,Arujá
rodriguinho,26,2004-04-21,20,,Brazil,Midfield - Central Midfield,,,,,1082599,614,,
arturo vidal,23,1987-05-22,36,1.8,Chile,Midfield - Central Midfield,right,2024-01-23,2024-12-31,Nike,37666,614,Chile,San Joaquín
jean carlos,18,2004-02-08,20,1.75,Brazil,Midfield - Defensive Midfield,left,2021-12-17,2024-12-31,,1082600,614,Brazil,São Paulo
evertton,52,2003-02-28,21,,Brazil,Midfield - Defensive Midfield,,2024-01-01,,,931007,614,,
igor jesus,48,2003-03-07,21,1.79,Brazil,Midfield - Defensive Midfield,right,2023-01-01,2025-12-31,,978037,614,Brazil,Goiânia
gerson,8,1997-05-20,27,1.84,Brazil,Midfield - Central Midfield,left,2023-01-01,2027-12-31,Nike,341705,614,Brazil,Belford Roxo
rayan lucas,8,2005-01-03,19,,Brazil,Midfield - Defensive Midfield,,2023-01-01,2028-10-29,,1087842,614,,
thiago maia,29,1997-03-23,27,1.79,Brazil,Midfield - Defensive Midfield,left,2024-03-07,2024-12-31,adidas,294873,614,Brazil,Boa Vista
giorgian de arrascaeta,14,1994-06-01,29,1.74,Uruguay,Midfield - Attacking Midfield,right,2019-01-12,2026-12-31,Nike,248410,614,Uruguay,Nuevo Berlín
weverson,0,2003-08-11,20,1.86,Brazil,Midfield - Defensive Midfield,left,2023-08-21,,,868810,614,Brazil,Tamandaré
daniel sales,2,2006-06-23,17,,Brazil,Defender - Right-Back,right,,2024-12-31,,1082609,614,,
wesley,43,2003-09-06,20,1.73,Brazil,Defender - Right-Back,right,2023-01-01,2025-12-31,,964580,614,Brazil,Açailândia
erick pulgar,5,1994-01-15,30,1.87,Chile,Midfield - Defensive Midfield,right,2022-07-29,2025-12-31,Nike,215616,614,Chile,Antofagasta
pedro inacio,0,2005-05-12,19,,Brazil,Defender - Left-Back,,,2024-12-31,,1102692,614,,
guillermo varela,2,1993-03-24,31,1.73,Uruguay,Defender - Right-Back,right,2023-01-12,2025-12-31,Nike,188862,614,Uruguay,Montevideo
jose welinton,0,2004-01-08,20,1.74,Brazil,Defender - Left-Back,left,2021-01-01,2025-12-31,,1069871,614,Brazil,Jardim
ramon,23,2001-03-13,23,1.79,Brazil,Defender - Left-Back,left,2024-02-05,2024-12-31,,663578,614,Brazil,São João de Meriti
marcos paulo,0,2003-01-18,21,1.83,Brazil,Defender - Left-Back,left,,,,978039,614,,
matheus franca,2,2000-09-08,23,1.71,Brazil,Defender - Right-Back,right,2024-02-16,2028-12-31,adidas,594226,614,Brazil,Londrina
filipe luis,0,1985-08-09,38,1.82,Brazil,Defender - Left-Back,left,2024-01-01,,,21725,614,Brazil,Jaraguá do Sul
cleiton,33,2003-04-25,21,1.94,Brazil,Defender - Centre-Back,left,2022-01-01,2025-12-31,adidas,943237,614,Brazil,Tapeorá
ayrton lucas,6,1997-06-19,26,1.8,Brazil,Defender - Left-Back,left,2023-01-01,2027-12-31,adidas,349585,614,Brazil,Carnaúba dos Dantas
darlan,13,2004-03-03,20,1.85,Brazil,Defender - Centre-Back,left,,2024-12-31,adidas,997862,614,,
diegao,0,2003-07-29,20,1.88,Brazil,Defender - Centre-Back,right,2024-01-01,,,886563,614,,
gabriel noga,2,2002-01-25,22,1.83,Brazil,Defender - Centre-Back,right,2024-01-30,,Nike,627215,614,Brazil,Volta Redonda
david luiz,23,1987-04-22,37,1.89,Brazil,Defender - Centre-Back,right,2021-09-01,2024-12-31,adidas,46741,614,Brazil,Diadema
fabricio bruno,15,1996-02-12,28,1.92,Brazil,Defender - Centre-Back,right,2022-02-09,2028-12-31,adidas,432773,614,Brazil,Ibirité
leo pereira,4,1996-01-31,28,1.89,Brazil,Defender - Centre-Back,left,2020-01-31,2027-12-31,Nike,288431,614,Brazil,Curitiba
rodrigo caio,0,1993-08-17,30,1.83,Brazil,Defender - Centre-Back,right,2024-01-01,,adidas,172054,614,Brazil,Dracena
matheus cunha,25,2001-05-24,22,1.93,Brazil,Goalkeeper,right,2023-01-01,2025-12-31,Nike,876739,614,Brazil,Tupi Paulista
caio barone,0,2006-05-04,18,1.96,Brazil,Goalkeeper,right,2024-01-01,,,1087860,614,,
dyogo alves,20,2004-01-09,20,,Brazil,Goalkeeper,,,2024-12-31,,1082543,614,,
lucas furtado,0,2005-03-09,19,,Brazil,Goalkeeper,,,2024-12-31,,1087843,614,,
kaua santos,40,2003-04-11,21,1.96,Brazil,Goalkeeper,right,2023-08-29,2028-06-30,,997861,614,Brazil,"Vassouras, Rio de Janeiro"
pablo,23,1991-06-21,32,1.88,Brazil,Defender - Centre-Back,right,2024-02-02,2024-12-31,Nike,149577,614,Brazil,São Luís
agustin rossi,1,1995-08-21,28,1.93,Argentina,Goalkeeper,left,2023-07-01,2027-12-31,,352324,614,Argentina,Buenos Aires
hugo souza,1,1999-01-31,25,1.99,Brazil,Goalkeeper,right,2023-07-06,2024-06-30,adidas,574901,614,Brazil,Duque de Caxias
denzel,0,2003-01-20,21,1.91,Brazil,Attack - Centre-Forward,right,2024-01-01,2024-12-31,,1022927,3197,Brazil,Taboão da Serra
vitor hugo,0,2004-02-24,20,,Brazil,Attack,,,,,989599,3197,,
santos,23,1990-03-17,34,1.88,Brazil,Goalkeeper,right,2024-01-14,2026-12-31,Nike,140811,614,Brazil,Campina Grande
breno herculano,18,1999-02-16,25,1.89,Brazil,Attack - Centre-Forward,right,2022-08-01,2025-12-31,,978480,3197,Brazil,Vitória
fernandinho,0,1997-07-19,26,1.75,Brazil,Attack - Centre-Forward,right,2023-01-19,2024-11-30,,442818,3197,Brazil,São Luís
philippe costa,0,2000-03-01,24,1.88,Brazil,Attack - Centre-Forward,right,2024-03-20,,,585347,3197,Brazil,Goiânia
gabriel novaes,0,1999-04-05,25,1.83,Brazil,Attack - Centre-Forward,right,2024-02-02,2024-12-31,Nike,649055,3197,Brazil,São Paulo
nicolas,11,1989-10-04,34,1.8,Brazil,Attack - Centre-Forward,right,2024-01-01,,,186408,3197,Brazil,Alegria
matheus peixoto,99,1995-11-16,28,1.9,Brazil,Attack - Centre-Forward,right,2024-01-08,2025-01-31,,518361,3197,Brazil,Rio de Janeiro
matheus babi,22,1997-07-18,26,1.91,Brazil,Attack - Centre-Forward,right,2024-02-15,2024-12-31,adidas,788861,3197,Brazil,Macaé
halerrandrio,7,2006-07-08,17,1.75,Brazil,Attack - Right Winger,right,,2026-12-31,,1092628,3197,Brazil,Monte Alegre
pedro junqueira,17,2004-03-23,20,1.82,Brazil,Attack - Right Winger,right,2022-01-01,2027-12-31,,1022057,3197,Brazil,Nerópolis
wendell,0,2004-02-14,20,1.72,Brazil,Attack - Right Winger,right,2024-04-19,,,1074482,3197,Brazil,Salvador
matheusinho,0,1998-07-29,25,1.76,Brazil,Attack - Right Winger,left,2024-04-16,,,688773,3197,Brazil,São Paulo
luiz filipe,0,2001-05-28,22,1.74,Brazil,Attack - Right Winger,right,2023-08-04,2024-12-31,,837534,3197,Brazil,Carmésia
allano,0,1995-04-24,29,1.82,Brazil,Attack - Right Winger,left,2024-04-19,2024-12-31,,376441,3197,Brazil,Rio de Janeiro
anderson oliveira,70,1998-07-16,25,1.69,Brazil,Attack - Left Winger,right,2024-03-01,,,594550,3197,Brazil,Sinop
alesson,0,1999-02-16,25,1.73,Brazil,Attack - Right Winger,right,2021-06-18,2025-12-31,,480225,3197,Brazil,Guarulhos
apodi,0,1986-12-13,37,1.72,Brazil,Attack - Right Winger,right,2024-01-01,2024-12-31,,59930,3197,Brazil,Apodi
vinicius,7,1993-08-03,30,1.79,Brazil,Attack - Left Winger,right,2024-04-12,2024-11-30,,146020,3197,Brazil,São Paulo
ariel,0,1998-07-04,25,1.78,Brazil,Midfield - Attacking Midfield,right,2024-04-05,,,980864,3197,Brazil,Erechim
alan stence,0,2002-07-03,21,1.82,Brazil,Midfield - Attacking Midfield,left,2024-02-08,2024-12-31,,1074474,3197,Brazil,Araras
diego goncalves,0,1994-09-22,29,1.82,Brazil,Attack - Left Winger,right,2021-06-10,2024-06-30,,405720,3197,Brazil,Guarujá
dodo,0,2001-06-15,22,1.71,Brazil,Midfield - Attacking Midfield,right,2024-01-15,2024-12-31,,978117,3197,Brazil,Angra dos Reis
carlos maia,25,2001-05-02,23,1.86,Brazil,Midfield - Attacking Midfield,both,2024-03-07,2024-12-31,,977534,3197,Brazil,Cabo Santo Agostinho
julian palacios,10,1999-02-04,25,1.69,Argentina,Midfield - Attacking Midfield,right,2024-01-27,2025-06-30,,728262,3197,Argentina,General Pico
guilherme,40,1991-05-21,33,1.74,Brazil,Midfield - Attacking Midfield,left,2024-02-06,2025-12-31,,139607,3197,Brazil,Três Rios
joao paulo,0,2003-01-22,21,1.86,Brazil,Midfield - Attacking Midfield,right,2024-03-18,,,863127,3197,Brazil,Anápolis
kauan,37,2005-04-16,19,1.74,Brazil,Midfield - Central Midfield,right,2024-01-01,2028-06-30,,1074479,3197,Brazil,Caxias
diego,20,1995-10-31,28,1.75,Brazil,Midfield - Central Midfield,right,2021-05-14,2024-12-31,,548846,3197,Brazil,Macaé
everton morelli,40,1997-11-04,26,1.85,Brazil,Midfield - Central Midfield,right,2024-04-08,2024-12-31,,525256,3197,Brazil,Batatais
marquinhos gabriel,10,1990-07-21,33,1.74,Brazil,Midfield - Attacking Midfield,left,2023-03-06,2024-12-31,,100091,3197,Brazil,Selbach
raphael guzzo,80,1995-01-06,29,1.78,Portugal,Midfield - Central Midfield,right,2024-01-10,,adidas,197880,3197,Brazil,São Paulo
jhonny lucas,21,2000-02-21,24,1.7,Brazil,Midfield - Central Midfield,right,2022-08-12,2024-12-31,,540990,3197,Brazil,Curitiba
ze ricardo,6,1999-02-03,25,1.8,Brazil,Midfield - Defensive Midfield,right,2024-01-08,2025-01-31,,600549,3197,Brazil,Rio de Janeiro
nathan melo,70,2001-03-20,23,1.86,Brazil,Midfield - Defensive Midfield,right,2022-01-01,2025-12-31,,880248,3197,Brazil,Goiânia
eduardo simioni,0,2003-05-01,21,1.82,Brazil,Midfield - Defensive Midfield,right,2024-05-13,,,1074483,3197,Brazil,Nova Santa Rita
